iter	Passed	Remaining
0	0	83
1	2	135
2	5	169
3	5	138
4	6	124
5	11	176
6	12	160
7	12	149
8	14	143
9	21	197
10	25	207
11	26	194
12	27	181
13	30	185
14	31	179
15	32	169
16	33	161
17	36	164
18	37	160
19	39	157
20	40	150
21	40	143
22	41	137
23	41	131
24	54	164
25	58	166
26	59	160
27	61	158
28	62	152
29	62	146
30	63	141
31	63	135
32	64	130
33	65	126
34	66	122
35	67	119
36	68	116
37	70	114
38	70	110
39	71	107
40	75	108
41	75	104
42	76	101
43	79	100
44	80	98
45	80	95
46	82	92
47	82	89
48	90	94
49	92	92
50	93	89
51	93	86
52	95	84
53	95	81
54	96	78
55	97	76
56	98	74
57	98	71
58	99	69
59	103	68
60	107	68
61	110	67
62	110	65
63	112	63
64	113	61
65	114	58
66	115	56
67	116	54
68	116	52
69	117	50
70	117	48
71	118	45
72	118	43
73	119	41
74	119	39
75	119	37
76	122	36
77	122	34
78	125	33
79	127	31
80	129	30
81	130	28
82	131	26
83	133	25
84	135	23
85	136	22
86	136	20
87	137	18
88	139	17
89	140	15
90	140	13
91	143	12
92	143	10
93	144	9
94	149	7
95	150	6
96	152	4
97	155	3
98	157	1
99	158	0
