iter	Passed	Remaining
0	49	49447
1	51	25491
2	52	17501
3	53	13218
4	53	10646
5	53	8929
6	54	7703
7	54	6782
8	55	6065
9	55	5531
10	56	5068
11	56	4672
12	57	4342
13	57	4054
14	59	3907
15	61	3784
16	62	3627
17	63	3449
18	63	3286
19	64	3144
20	64	3017
21	65	2900
22	65	2795
23	66	2697
24	74	2897
25	74	2804
26	75	2712
27	75	2626
28	78	2631
29	79	2555
30	80	2518
31	81	2466
32	82	2417
33	83	2361
34	83	2307
35	84	2256
36	87	2274
37	87	2223
38	88	2174
39	88	2129
40	91	2144
41	92	2106
42	94	2097
43	94	2057
44	96	2040
45	97	2013
46	99	2015
47	100	1983
48	100	1952
49	103	1959
50	103	1927
51	104	1898
52	104	1868
53	104	1839
54	105	1811
55	108	1835
56	109	1809
57	109	1782
58	112	1794
59	113	1771
60	113	1746
61	113	1723
62	114	1700
63	115	1696
64	116	1677
65	117	1658
66	117	1639
67	118	1619
68	118	1599
69	118	1580
70	119	1565
71	120	1551
72	120	1533
73	121	1518
74	121	1504
75	122	1488
76	122	1472
77	123	1458
78	123	1443
79	124	1428
80	124	1414
81	125	1400
82	125	1384
83	125	1370
84	126	1357
85	126	1343
86	126	1331
87	127	1318
88	127	1306
89	128	1294
90	128	1283
91	128	1272
92	129	1261
93	129	1250
94	130	1240
95	130	1229
96	131	1227
97	132	1217
98	132	1207
99	133	1198
100	133	1188
101	134	1179
102	134	1170
103	134	1162
104	135	1154
105	135	1146
106	136	1139
107	136	1130
108	137	1123
109	137	1115
110	138	1108
111	138	1100
112	139	1093
113	139	1086
114	140	1079
115	140	1071
116	140	1063
117	141	1056
118	141	1050
119	142	1043
120	143	1044
121	144	1037
122	144	1030
123	144	1024
124	145	1017
125	145	1011
126	146	1005
127	146	999
128	147	994
129	147	990
130	148	985
131	148	979
132	149	973
133	149	967
134	150	962
135	150	956
136	151	951
137	151	948
138	152	944
139	153	940
140	153	936
141	154	931
142	154	926
143	155	921
144	155	918
145	156	914
146	156	909
147	157	904
148	157	899
149	157	894
150	158	891
151	159	887
152	159	883
153	159	878
154	160	874
155	160	869
156	161	865
157	161	861
158	162	857
159	165	867
160	166	866
161	166	861
162	167	857
163	167	853
164	167	849
165	168	846
166	169	843
167	169	841
168	170	838
169	171	835
170	171	831
171	172	828
172	172	824
173	172	821
174	173	818
175	174	814
176	174	811
177	174	807
178	175	803
179	175	800
180	176	797
181	176	793
182	176	789
183	177	786
184	177	782
185	178	779
186	178	775
187	178	772
188	179	769
189	179	767
190	180	764
191	180	761
192	181	758
193	181	755
194	182	753
195	183	751
196	183	749
197	184	746
198	185	744
199	185	741
200	185	738
201	186	735
202	186	733
203	187	731
204	187	728
205	188	725
206	188	723
207	189	720
208	189	718
209	190	715
210	190	713
